Num Hilos;Ticks;Resultado
1;36.536;6.055,13
2;15.068;6.055,13
3;36.659;6.055,13
4;24.610;6.055,13
5;18.633;6.055,13
6;19.137;6.055,13
7;17.180;6.055,13
8;19.173;6.055,13
9;21.630;6.055,13
10;16.313;6.055,13
11;15.812;6.055,13
12;13.946;6.055,13
13;15.649;6.055,13
14;15.760;6.055,13
15;14.814;6.055,13
16;18.759;6.055,13
17;17.198;6.055,13
18;15.396;6.055,13
19;14.753;6.055,13
20;14.310;6.055,13
21;15.810;6.055,13
22;14.335;6.055,13
23;14.172;6.055,13
24;16.932;6.055,13
25;14.997;6.055,13
26;15.506;6.055,13
27;14.794;6.055,13
28;15.079;6.055,13
29;15.496;6.055,13
30;16.114;6.055,13
31;16.747;6.055,13
32;16.543;6.055,13
33;17.388;6.055,13
34;17.932;6.055,13
35;18.614;6.055,13
36;19.973;6.055,13
37;19.965;6.055,13
38;21.139;6.055,13
39;21.778;6.055,13
40;22.071;6.055,13
41;21.586;6.055,13
42;22.835;6.055,13
43;23.989;6.055,13
44;23.741;6.055,13
45;24.561;6.055,13
46;25.143;6.055,13
47;25.059;6.055,13
48;26.482;6.055,13
49;26.556;6.055,13
50;26.404;6.055,13
